id,imię,nazwisko,płeć,PESEL,miasto,adres,karta_lojalnościowa,telefon,email
679,Patryk,Osek,M,83090160953,Wrocław,ul. Malinowa 83/14,False,48115803871,p-osek@gazeta.pl
680,Piotr,Smółka,M,00211694054,Torzym,ul. Wolsztyńska 13,False,48245863610,psmolk2000@gmail.com
681,Marcin,Chojnacki,M,73062481353,Wrocław,ul. Błękitna 28/51,False,48631167152,marchojnack73@yahoo.com
682,Dorota,Rzucidło,K,78071730171,Tarnów,ul. Nowa 42,False,48743508841,rzucidlo19781@gmail.com
683,Agnieszka,Bardo,K,72102972196,Oleśnica,ul. Kaliska 27,False,48602753499,agn-bard1972@wp.pl
684,Oksana,Szczepańska,K,,Zielona Góra,ul. Celna 51/31,False,48514011720,so2tku0r74k@gmail.com
685,Adam,Buta,M,83072154219,Gniew,ul. Sokoła 59/39,False,48212173794,but_a@interia.pl
686,Antoni,Guławski,M,79062110857,Łapy,ul. Lawendowa 8,False,48797574242,a-gulaws@gmail.com
687,Agnieszka,Wasilewska,K,71010908859,Wrocław,ul. Zabuże 18,False,48414171561,a.wasilewska71@onet.pl
688,Tymon,Janowicz,M,80110556675,Wrocław,ul. Generała Władysława Sikorskiego 90/18,False,48391355889,t_janowicz1980@protonmail.com
689,Włodzimierz,Pajda,M,78112660193,Wrocław,ul. Długa 32,False,48250060682,wlo_paj1978@gmail.com
690,Jacek,Gajewski,M,,Wrocław,ul. Staszowska 56,False,48383837839,zzyjxpbu2@gmail.com
691,Bartosz,Jagła,M,03282153275,Poznań,ul. Adama Asnyka 48/16,False,48112661436,b.jagla03@gmail.com
692,Nikita,Rybski,M,,Wrocław,ul. Sportowa 66,False,48792040949,r@wp.pl
693,Serhii,Werpachowski,M,72031739136,Wrocław,ul. Przesiedleńcza 84/35,False,48264393808,werpacserhii7750@onet.pl
694,Małgorzata,Przekop,K,06262133179,Kraków,ul. Akacjowa 76/14,False,48995381271,przekop7@gmail.com
695,Błażej,Piotrowski,M,96051091678,Kietrz,ul. Bażantowa 13,False,48282078354,b-piotrowski8772@gmail.com
696,Piotr,Iwański,M,87010975131,Wrocław,ul. Prosta 21/5,False,48818551668,iwanpiotr@onet.pl
697,Marzena,Tworek,K,81030438458,Wrocław,ul. Bartosza Głowackiego 79/45,False,48720613787,tworek50253@gmail.com
698,Samuel,Hennig,M,08250807796,Wrocław,ul. Narciarska 39,False,48429613292,s.hennig@interia.pl
699,Sławomir,Dorobiała,M,85042619850,Wrocław,ul. Stary Rynek 62/48,False,48251293286,dorobiala0@gmail.com
700,Damian,Sliva,M,73042266431,Wrocław,ul. Piwna 97/6,False,48382801080,slivdami1973@wp.pl
701,Mirosława,Smolińska,K,,Wrocław,ul. Narutowicza 62,False,48403072247,vphofui0o18y7@protonmail.com
702,Adrian,Dziepak,M,95030266113,Wrocław,ul. Pałacowa 33,False,48519225986,a-dziepak@interia.pl
703,Małgorzata,Gaweł,K,08262346234,Nysa,ul. Nowa 89,False,48908050691,mal_g08@gmail.com
704,Ilja,Kot,M,76070756958,Olsztyn,ul. Krótka 21,False,48747558484,iko@wp.pl
705,Karina,Budilovska,K,06230454619,Wrocław,ul. Letnia 65,True,48043553966,karbudilovsk2006@gazeta.pl
706,Piotr,Gajo,M,78070843076,Wrocław,ul. Akacjowa 97/38,True,48156287605,pio.gaj1978@o2.pl
707,Zbigniew,Siwula,M,05291162631,Słupsk,ul. Kinowa 80/20,False,48823134289,z.siwula@onet.pl
708,Beata,Kłoda,K,96030462370,Wrocław,ul. Łabędziowa 91/43,True,48779972861,b.kloda@gmail.com
709,Katarzyna,Jandura,K,03271408313,Szczecin,ul. Sabały 9/28,False,48413619405,bv441jn@wp.pl
710,Teresa,Sakiewicz,K,74111994794,Wrocław,ul. Letnia 43,True,48717393294,tsakiew8771@vp.pl
711,Bartłomiej,Lebid,M,77062393151,Legionowo,ul. Brzyszowska 46/44,True,48102875032,lebid2@gmail.com
712,Olha,Krassowska,K,99030879379,Ostróda,ul. Obozowa 44,False,48195918666,okrassowska1999@gmail.com
713,Justyna,Gromadzka,K,91090277993,Wrocław,ul. Półanki 78/20,False,48617984912,jgromadzka1991@interia.pl
714,Vadzim,Ben Zvi,M,90052741815,Wrocław,ul. Grzybowa 60,False,48628530734,ben zvi8@gmail.com
715,Alexandra,Woźniel,K,75112863038,Byczyna,ul. Bonifratrów 59/26,True,48720111683,ale_wo@gmail.com
716,Mateusz,Krawczyk,M,06242767318,Wrocław,ul. Władysława Reymonta 3/5,False,48186002528,krawczyk20065@wp.pl
717,Sławomir,Markiewicz,M,86101624893,Sulęcin,ul. Lipowa 73/42,False,48562073413,s-markiewi1986@gmail.com
718,Przemysław,Jędrasik,M,72083136554,Nysa,ul. Rowerowa 27/30,False,48631863568,s6ualw9nn873@wp.pl
719,Iaroslav,Włodarczyk,M,92051228274,Legnica,ul. Pogodna 73/6,False,48717945614,h3y53t4rmg9yf3n@opayq.com
720,Karolina,Zaborowska,K,98012435350,Myszków,ul. Tatarska 2/33,False,48452200971,kar_zaborow1998@gmail.com
721,Jadwiga,Kosek,K,92122129635,Szczecin,ul. Wędkarska 43/28,False,48161201482,h4lop64h8@wp.pl
722,Michał,Makushkin,M,89121940714,Wrocław,ul. Wierzbowa 80/43,False,48089945742,mmakushk@wp.pl
723,Edwin,Filas,M,89012399230,Wrocław,ul. Sarnia 90/39,False,48034357267,fila-@wp.pl
724,Oliwier,Sosenko,M,06242614412,Wrocław,ul. Zygmunta Noskowskiego 85/45,True,48265025717,oli_sose@o2.pl
725,Svitlana,Okońska,K,00323153713,Wrocław,ul. Wiśniowa 43/50,True,48004594998,svi-okonsk00@wp.pl
726,Joanna,Grobelna,K,01242022416,Brodnica,ul. Żeromskiego 83/16,False,48663313857,j.grobelna01@gmail.com
727,Karolina,Kocemba,K,87091016091,Wrocław,ul. Wąska 65/7,False,48361977581,wpc1hjex8@opayq.com
728,Michał,Lipski,M,,Wrocław,ul. Węgliniecka 67/33,False,48762675385,lips-micha@gmail.com
729,Aneta,Filitowska,K,95092373558,Piła,ul. Generała Zajączka 88/23,True,48198090040,fg7gj64ro66e61f9@o2.pl
730,Justyna,Krupa,K,90061984434,Bełchatów,ul. Biskupa Herberta Bednorza 7/6,False,48771446132,j.kr1990@onet.pl
731,Justyna,Bubacz,K,92042160514,Tuchów,al. Krzysztofa Komedy 15/16,False,48524499945,ya6g4p@gmail.com
732,Piotr,Tokarski,M,87022209752,Olecko,ul. Bieżyńska 48,False,48959514360,pio.tokar87@gmail.com
733,Małgorzata,Glapik,K,02281217636,Wrocław,ul. Poziomkowa 91/49,False,48292414851,malglapi@gmail.com
734,Katarzyna,Waśniewska,K,83041233590,Kolonowskie,ul. Kolejowa 73,False,48451873508,wasniewska19831@interia.pl
735,Roman,Andrzejczak,M,75071998576,Piotrków Trybunalski,ul. Ogrodowa 71,False,48428276609,andrzejczak758@wp.pl
736,Agnieszka,Stempin,K,00220360939,Wrocław,ul. Wspólna 53/28,False,48171685700,a-stempin@gmail.com
737,Piotr,Sulowski,M,07311413637,Wrocław,ul. Złota 4/34,False,48814433571,p-sulowski2007@o2.pl
738,Urszula,Draniak,K,81061052056,Wrocław,ul. Cmentarna 67/7,False,48346908581,draniak2@o2.pl
739,Ewa,Rzucidło,K,,Lubin,ul. Stroma 53,False,48494249310,e-rzucidlo1983@wp.pl
740,Kamila,Pliszka,K,78031437333,Wrocław,ul. Łąkowa 35,False,48086399025,vcpl2gqa@opayq.com
741,Antoni,Idem,M,84031675833,Wrocław,ul. Wierzbowa 38/17,False,48029421951,i01s72436x2p@vp.pl
742,Robert,Bębenek,M,77032933176,Kielce,ul. Mieczysława Karłowicza 63,False,48297362815,be1977@gmail.com
743,Piotr,Rawita,M,07240633577,Wrocław,ul. Aleksandra Kotsisa 31,True,48907538061,p-rawita5529@interia.pl
744,Aleksander,Vaitsiakhovich,M,04212535972,Gdańsk,ul. Orla 1,False,48849617194,vaitsiakhovich040@o2.pl
745,Jan,Plichta,M,74091836178,Wrocław,ul. Grójecka 98/23,False,48221263651,j.plichta@int.pl
746,Danuta,Miś,K,88070207853,Wrocław,ul. Krańcowa 44/46,False,48752485167,d.mis88@gmail.com
747,Marek,Shelistov,M,03242749450,Włoszczowa,ul. Rusinowska 55/7,False,48755356828,r5t8fg572@opayq.com
748,Paulina,Tsepak,K,07251057278,Wrocław,ul. Bukietowa 7/5,False,48531305003,tsepak81903@o2.pl
749,Alewtyna,Kazana,K,06310270359,Wrocław,ul. Cyrkoniowa 91/22,False,48727286735,a.kazana2006@gmail.com
750,Olaf,Radłowski,M,79050975970,Wrocław,Aleja Teodora Dunina 12,False,48055868279,ola_radlowsk@onet.pl
751,Ilona,Prądzyńska,K,84121544715,Zielona Góra,ul. Aleksandra Majkowskiego 92/5,False,48800569945,pradzyns.ilona@wp.pl
752,Liubov,Szymkun,K,88111505612,Wrocław,ul. Parkowa 46,False,48407499824,szymkun19889@gmail.com
753,Grażyna,Czarnecka,K,88110354675,Wrocław,ul. Sasankowa 18/39,False,48655960781,g_czarnecka1988@interia.pl
754,Jerzy,Tęgos,M,79061419377,Wałbrzych,ul. Świecka 25/38,False,48880689597,tegos791@protonmail.com
755,Jakub,Podel,M,73032184895,Wrocław,ul. Ignacego Paderewskiego 82,False,48974366984,podel19731@protonmail.com
756,Grzegorz,Bùi,M,98120666077,Wrocław,ul. Działkowa 54/29,False,48802491615,exi2r626r8s@gmail.com
757,Chantal,Kapelska,K,91042453099,Wrocław,ul. Paprotna 46/38,False,48441897703,kapelska59606@wp.pl
758,Jadwiga,Nowak,K,96052274753,Wrocław,ul. Bukowa 80/14,False,48136538544,jad-nowa96@gmail.com
759,Janina,Kopacz,K,92052106254,Wrocław,ul. Pionierów 67,False,48335688992,jan-kopac1992@gmail.com
760,Ewa,Matuszewska,K,84092285673,Wrocław,ul. Brzozowa 91/23,False,48898468598,ematuszewska8720@wp.pl
761,Gabriela,Fijałkowska,K,08241414772,Wrocław,ul. Browarna 20/43,True,48885374099,gab-fijalk@gmail.com
762,Krystyna,Chojecka,K,02322470293,Golub-Dobrzyń,ul. Wschodnia 76/21,False,48997032231,k_cho7640@gmail.com
763,Małgorzata,Czapla,K,92072172895,Kędzierzyn-Koźle,ul. Słowackiego 66/44,False,48609494775,mal_cza@gmail.com
764,Kateryna,Rogala,K,09262859553,Wrocław,ul. Wierzbowa 29/49,False,48643170847,kat.rogal2009@gazeta.pl
765,Paweł,Sobala,M,98090365390,Inowrocław,ul. Wiosenna 40/4,False,48715210748,paw-so@o2.pl
766,Teresa,Jasionowska,K,78050483016,Łódź,ul. Wiejska 45/51,False,48860017704,tjasionow1978@o2.pl
767,Paweł,Stasik,M,05270214276,Żary,ul. Jarzębinowa 11/2,False,48845073712,pst05@onet.pl
768,Tomasz,Chuchla,M,77112982010,Wrocław,ul. Szkolna 12/8,False,48283421611,chuchla1@gmail.com
769,Martyna,Węgorowska,K,91062471750,Lubin,ul. Wspólna 80,False,48037534369,mar-w@wp.pl
770,Nikola,Mehlich,K,70090751359,Wrocław,ul. Wiejska 36,False,48935859177,nmehlic1359@gmail.com
771,Kira,Makowska,K,81012597359,Wrocław,ul. Spacerowa 86/29,False,48128590259,kmakowsk@wp.pl
772,Stanisława,Kłak,K,10281125932,Wrocław,ul. Jana Zachwatowicza 27/37,False,48484370379,u1242lvv46nt33@opayq.com
773,Justyna,Kuter,K,07211211737,Wrocław,ul. Ligonia 11/41,False,48831232305,kuter20070@protonmail.com
774,Paweł,Kochaniak,M,88020560775,Wrocław,ul. Dębowa 26,False,48262237782,p-kochaniak88@wp.pl
775,Wojciech,Krajczyński,M,83092688219,Opole,ul. Bursztynowa 1/49,False,48941237564,krajczy_83@gmail.com
776,Łukasz,Albrecht,M,80061591895,Gdańsk,ul. Uśmiechu 76/50,False,48564773347,lalbrecht1980@onet.pl
777,Mikhail,Hulaj-Pole,M,77120616596,Polanica-Zdrój,ul. Średnia 9/13,False,48595505977,mhulaj-pole@gmail.com
778,Emilia,Vostal,K,10250295532,Wrocław,ul. Jerzego Tymowskiego 44,False,48154557740,e_vostal@wp.pl
779,Dominika,Gołda,K,87112295757,Wrocław,ul. Słoneczna 72/18,False,48462188509,golda873@onet.pl
780,Marta,Botsii,K,97011405775,Kazimierza Wielka,ul. Różana 25/34,False,48301944165,mar.b@protonmail.com
781,Maryna,Adamek,K,74061319856,Zielona Góra,ul. Podgórna 58/4,False,48525921197,adam.@gmail.com
782,Marian,Borycki,M,03301087192,Tarnów,ul. Wierzbowa 72/29,False,48075707015,bor.2003@wp.pl
783,Krystian,Szmejter,M,70021346614,Gdańsk,ul. Klonowa 88/4,False,48480144313,kry_szm@gmail.com
784,Łukasz,Bugdoł,M,99111926392,Wrocław,ul. Bolesława Prusa 43/45,False,48772237379,l.bugdol1999@gmail.com
785,Patrycja,Rieboldt,K,05211576157,Wrocław,ul. Zielarska 29,False,48981738254,riebo_pat1481@vp.pl
786,Nikodem,Konieczny,M,82072604458,Świnoujście,ul. Wakacyjna 29/43,False,48317656752,konieczny39648@gmail.com
787,Jadwiga,Strzelecka,K,75020437134,Police,ul. Mikołaja Kopernika 58/39,False,48720775681,strzele_jadwi75@interia.pl
788,Jakub,Jagodziński,M,02291689010,Wrocław,ul. św. Jana Pawła II 7/49,False,48764603959,jak-ja@protonmail.com
789,Marek,Szołdrowski,M,99122369814,Wrocław,ul. Namysłowska 46/14,False,48461955117,mszoldrowski1184@wp.pl
790,Kazimierz,Szuba,M,77100266331,Ropczyce,ul. Zielona 51,False,48210470480,kaz.szub77@wp.pl
791,Tomasz,Jabłoński,M,86071197698,Zduńska Wola,ul. Brzozowa 58/5,False,48110470927,tom.jab8569@wp.pl
792,Katarzyna,Bartniak,K,00232859311,Wrocław,ul. Świerkowa 4,False,48022487876,pxn9mi@opayq.com
793,Antonina,Metelska,K,94071867556,Piła,ul. Józefowska 75/34,False,48396938456,antmetel@interia.pl
794,Marta,Jędrasik,K,04311961818,Łódź,ul. Pawia 81/40,False,48584955800,marjedrasi04@onet.pl
795,Kinga,Sala,K,98072434270,Lubsko,ul. 29 Listopada 34/45,False,48494027032,u49ns66s2e56xq37@opayq.com
796,Natalia,Kamińska,K,09211881451,Wrocław,ul. Muminków 15/51,False,48491037097,nkaminska7605@gmail.com
797,Danyil,Mucha,M,02251739650,Wrocław,ul. Polna 8/11,False,48155391220,p2nmft@interia.pl
798,Marta,Jurko,K,,Wrocław,ul. Szkolna 52/33,False,48731608166,mar_ju@gmail.com
799,Vasyl,Gierbuszewski,M,08281707975,Ruda Śląska,ul. Jana Pawła II 15,False,48840694295,v-gierbuszewski@wp.pl
800,Jakub,Stanek,M,04321141879,Nowe Skalmierzyce,ul. Dworcowa 69/14,False,48881999687,j.stanek@o2.pl
801,Wioletta,Budlewska,K,08321813756,Wrocław,ul. Kościuszki 45/40,False,48693464485,budlewska20087@gmail.com
802,Maria,Burak,K,08312140553,Wrocław,ul. Czereśniowa 64/39,False,48162626879,burak20085@wp.pl
803,Joanna,Harrison,K,96101668355,Wiązów,ul. Konstantynowska 78/30,False,48563636754,harrison9@onet.pl
804,Kateryna,Dziubek,K,95022778592,Bielawa,ul. Ludwika Norblina 7/17,False,48291066512,kat_dziube@onet.pl
805,Wiktoria,Zielińska,K,88093005474,Wrocław,ul. Gdańska 17/22,False,48232445407,w.zielinska88@onet.pl
806,Bogusława,Gąszczak,K,77040463715,Wadowice,ul. Przy Tamie 77/32,False,48532120780,b.gaszcza1977@gmail.com
807,Krzysztof,Łagosz,M,79060218199,Legnica,ul. Agrestowa 39/36,False,48213280967,y61iqixunh@o2.pl
808,Krzysztof,Cichosz,M,71022344878,Wrocław,ul. Mariacka 65/35,False,48739425982,cichosz19713@gmail.com
809,Aleksandra,Świerszcz,K,73020317779,Zielona Góra,ul. Lachowizna 56,True,48318537021,a-swierszc@interia.pl
810,Andrii,Bernad,M,79043041451,Krzeszowice,ul. Witolda Budryka 27/6,False,48758304071,bernad4@interia.pl
811,Małgorzata,Jadach,K,76031211838,Tarnów,ul. Jeziorna 70/45,False,48233525392,jadac_malgo1976@onet.pl
812,Klaudia,Walczak,K,78060814015,Wrocław,ul. Dąbie 58,False,48714067950,wal-klaudi78@outlook.com
813,Zofia,Kubasiak,K,78110485451,Warszawa,ul. Elizy Orzeszkowej 48/27,False,48400631711,zof.kubasia78@gmail.com
814,Maila,Proszek,K,94061591618,Wrocław,pl. im. Jerzego Grotowskiego 45/47,False,48883733688,d158vxfd1i1f@wp.pl
815,Wioleta,Banaszak,K,05220740974,Wrocław,ul. Okopowa 55,False,48705974291,w.banasza@wp.pl
816,Anna,Slobodianiuk,K,92072941310,Wrocław,ul. Główna 14/33,False,48330918204,a-slobodianiuk92@gmail.com
817,Gabriela,Smolarska,K,79051865610,Wrocław,ul. Cisowa 85/34,False,48360247683,n4kzu6y28m55jb@opayq.com
818,Andrzej,Pavelchuk,M,92122248651,Wrocław,ul. Sudecka 83/41,False,48348849889,a-pavel@wp.pl
819,Karolina,Kukulak,K,08212085772,Wrocław,ul. Żytnia 74/13,False,48515943155,kkukula2008@gmail.com
820,Beata,Brodowska,K,90091486113,Solec Kujawski,ul. Węgierska 19,False,48599114951,bea.b1990@gmail.com
821,Serhii,Ździebło,M,98111592271,Wrocław,ul. Nadbrzeżna 54/24,True,48989025139,s_zdzieblo1998@o2.pl
822,Elżbieta,Wilk,K,05311947150,Nowy Sącz,ul. Lubanowska 15/25,False,48028838570,e.w@gmail.com
823,Dorota,Graj,K,99081938698,Warszawa,ul. Stanisława Tondosa 2,False,48375321830,d.g99@gmail.com
824,Barbara,Fudalej,K,79062250771,Wrocław,ul. Orla 64/40,True,48266566555,b.fudal1979@wp.pl
825,Lidia,Andrzejewska,K,82100385115,Wrocław,ul. św. Józefa 80,False,48171430258,l.andrzej1982@o2.pl
826,Emilia,Zosym,K,01251586910,Lublin,ul. Lipowa 92,False,48383324832,ezosym@wp.pl
827,Bożena,Radecka,K,92072937771,Wrocław,ul. Nyska 75/27,False,48816856755,boz_rade92@protonmail.com
828,Teresa,Konke,K,80100235591,Lubawa,ul. Słoneczna 50/43,False,48706558934,oaeozdd9lx@gmail.com
829,Julia,Chlipała,K,05311817895,Wrocław,ul. Marii Dąbrowskiej 88,False,48111438559,j.chlipala@gmail.com
830,Mirosław,Siekierka,M,07230281335,Wrocław,ul. Łysa Góra 37/10,False,48159171733,mir_siekierk@gmail.com
831,Wanda,Wołek,K,77071738455,Wrocław,ul. Nowa 55/19,False,48851173259,wole.w1977@interia.pl
832,Marzena,Majda,K,85050435417,Wrocław,ul. Begonii 7/45,False,48263482210,majda19850@gmail.com
833,Katarzyna,Stępniak,K,98030806996,Gorzów Wielkopolski,ul. Sielska 47,False,48881784523,xu82j2x70a3lyi6@onet.pl
834,Lesia,Polański,K,96021749318,Wrocław,ul. Kamykowa 3/8,False,48081020631,l.polanski1996@wp.pl
835,Robert,Liszka,M,89012508236,Wrocław,ul. Platynowa 32,False,48316958515,rob_liszk1989@onet.pl
836,Tetiana,Przybyła,K,95022833073,Gryfice,ul. Żuromińska 78/29,False,48394980143,tetprz1995@gazeta.pl
837,Irena,Musielak,K,77010812653,Ostrzeszów,ul. Jana Brzechwy 98/3,False,48620879939,yxcwo46x51o@opayq.com
838,Marta,Mohelnytska,K,97011312990,Wrocław,ul. Stanisława Moniuszki 97,False,48481353099,marmohel@o2.pl
839,Wojciech,Dubaj,M,76080526413,Wrocław,ul. Lawendowa 50/6,False,48530631994,dubaj769@gmail.com
840,Arkadiusz,Nogaj,M,90100452696,Zielona Góra,ul. Brzegowa 69/16,False,48279056227,djq2s9lkrq@opayq.com
841,Damian,Pokrzywnicki,M,90092803311,Wrocław,ul. Przemysłowa 94,False,48771921017,dpokrzywnicki@gmail.com
842,Artur,Śmigasiewicz,M,89100522179,Wrocław,ul. Ignacego Krasickiego 43,False,48196795829,smigasiewicz19895@gmail.com
843,Tomasz,Trzcina,M,83120450995,Wrocław,ul. Szwedzka 20,False,48837373193,t_trzcin83@interia.pl
844,Maria,Guanin Lara,K,96050264295,Szczecin,ul. Prudnicka 61/41,False,48942992554,m-guanin lara@gmail.com
845,Alicja,Pisarek,K,84070443819,Wrocław,ul. Klonowa 20/39,False,48613619999,alipis1984@protonmail.com
846,Danuta,Dmytriv,K,78060725258,Wrocław,ul. Jurija Gagarina 23/29,False,48684469589,ddmy@gmail.com
847,Katarzyna,Szadkowska,K,99032350070,Wrocław,ul. Chełmońskiego 77/42,False,48650130449,szadk.ka99@wp.pl
848,Iga,Figiel,K,09290290450,Wrocław,ul. Leśnej Osady 61/38,False,48228587634,i-figie2009@outlook.com
849,Mia,Sokurenko,K,73090107571,Wrocław,ul. Piwowarów 81/50,False,48562632738,m.sokurenko1973@gmail.com
850,Maksymilian,Lib,M,93081792656,Wrocław,ul. Izerska 68,False,48529159968,mak-li@gmail.com
851,Weronika,Cyrulik,K,83042951578,Wrocław,ul. Szeroka 62,False,48411839744,cyru_weron1983@interia.pl
852,Andrzej,Cimoch,M,93101518550,Łobez,ul. Legionów Dąbrowskiego 18,False,48579105871,and-cim1993@wp.pl
853,Svitlana,Szewczyk,K,88041117411,Gdańsk,ul. Partyzantów 3/28,False,48492242292,sszewczyk88@opayq.com
854,Maciej,Bahcevan,M,84062036030,Opole,ul. Szarika 46,False,48748342567,mac.bahceva1984@onet.pl
855,Sylwia,Nowak,K,00300822751,Wrocław,ul. Bronisława Czecha 54/25,False,48737814886,s_nowak5734@wp.pl
856,Marcin,Orzeł,M,,Kielce,ul. Zofii Nałkowskiej 47/29,False,48149332927,qz896wlw72g@opayq.com
857,Tomasz,Abraszkiewicz,M,78021757834,Wrocław,ul. Wspólna 23,False,48178331666,xk3s6w@opayq.com
858,Alicja,Kwaśniak,K,03282173530,Wrocław,ul. Jana Kostki 8/2,False,48852449648,a.kwas03@gmail.com
859,Mervin,Ryngwelski,M,86050264975,Wrocław,ul. Łąkowa 73,False,48237904224,ryngwelsk.m86@wp.pl
860,Oskar,Pieniężny,M,05212285317,Wrocław,ul. Rolnicza 4/15,False,48283293104,pieniezoskar2005@gmail.com
861,Henryk,Broszęcki,M,86082481072,Wrocław,ul. Trygława 70/34,False,48428046251,henbros@wp.pl
862,Paweł,Tilmanowski,M,02242616294,Wrocław,ul. Łączyska 41/41,False,48910822834,s731r0r2446y3@opayq.com
863,Andrzej,Andrishak,M,79052101915,Wrocław,ul. Miczów 77/13,False,48490094310,zwb4i9qj59inr7@opayq.com
864,Filip,Michalak,M,71071915571,Elbląg,ul. Słoneczna 80/8,False,48784274958,kc17vli@opayq.com
865,Miłosz,Matuszewski,M,74051337439,Wrocław,ul. Małopolska 41,False,48261112773,matuszewski740@gmail.com
866,Wioletta,Dzida,K,89042196076,Pińczów,ul. Centralna 98/5,False,48462747094,w_dzida1989@gmail.com
867,Jan,Walczak,M,10271781135,Wrocław,ul. Wiklinowa 74/23,False,48185942582,wal_ja@gmail.com
868,Klaudia,Brek,K,,Wrocław,ul. Porzeczkowa 79,True,48505505515,v9l4j785f6e3xl@opayq.com
869,Beata,Klimczak,K,84110344650,Bydgoszcz,ul. Młyńska 71/49,False,48240957726,klimczak19841@outlook.com
870,Zuzanna,Semenenko,K,81010762733,Wrocław,ul. Słomianka 49/31,False,48082496534,seme_zuzanna@gmail.com
871,Mikołaj,Terletskyi,M,84010326851,Wrocław,ul. Antoniego Chruściela 47,False,48563652718,terle.2869@vp.pl
872,Tomasz,Bobyr,M,70082510830,Wrocław,pl. Ludwika Krasińskiego 35/14,False,48072923198,yz6k57wik7208@wp.pl
873,Janusz,Tompalski,M,99072079832,Gdańsk,ul. Szarych Szeregów 59,False,48106600582,hk06kk2ai@gazeta.pl
874,Mikołaj,Chabiński,M,71022604938,Wrocław,ul. Staroopolska 29/41,False,48100233285,m_chab@vp.pl
875,Michał,Budziński,M,94080844412,Tuliszków,al. prof. Leszka Kołakowskiego 58/5,False,48506544137,budzinski19946@gmail.com
876,Małgorzata,Kulak,K,72122882996,Wrocław,ul. Chojnicka 27,False,48178684159,kulak5@onet.pl
877,Ewa,Beyrowska,K,06310645513,Wrocław,ul. Bolesława Prusa 40/11,False,48521365080,beyrowewa@gmail.com
878,Zofia,Liesnikova,K,95040569637,Wrocław,ul. Polna 50/48,False,48044802380,mq66mle0pc2a1x@o2.pl
879,Ada,Kurasiak,K,74120458656,Wrocław,ul. Nad Wizną 30,False,48837953578,kurasiak2@gmail.com
880,Jarosław,Skoczek,M,77121575151,Wrocław,ul. Armii Krajowej 86/51,False,48092593235,sk.ja@outlook.com
881,Lena,Komolibio,K,87090976413,Olsztyn,ul. Pieniny 98/50,False,48841003737,komo_lena1987@vp.pl
882,Laura,Tomaszewska,K,94072349556,Wrocław,ul. Stroma 42/46,False,48003869868,tom.laur9043@outlook.com
883,Adam,Paśnik,M,90041464370,Prudnik,ul. Poziomkowa 29/4,False,48715230741,adap@wp.pl
884,Emilia,Wrona,K,83042290754,Szczecin,ul. Jaśminowa 84/7,False,48642791872,e.wrona@gmail.com
885,Barbara,Pak,K,91053156855,Żywiec,ul. Spółdzielcza 40/29,False,48729986884,bar-pa@outlook.com
886,Agnieszka,Zawadzka,K,01292183974,Wrocław,ul. Janusza Kusocińskiego 17,False,48016398114,zawadzka20017@gmail.com
887,Przemysław,Mek,M,90080192654,Wrocław,ul. Szkolna 5,False,48001239311,p-mek1990@wp.pl
888,Rustam,Jasiński,M,88010734452,Busko-Zdrój,ul. Prodnia 55,False,48113557954,rjas@yahoo.com
889,Vladimir,Ossowski,M,04281611274,Wrocław,ul. Radosna 7/22,False,48979453912,o_vl2004@vp.pl
890,Franciszek,Hofman,M,00241521834,Wrocław,ul. Parkowa 60/23,False,48828201619,fra_ho2000@onet.pl
891,Walentyna,Mentel,K,98101364156,Police,pl. plac Gryfitów 13,False,48354693037,walme98@outlook.com
892,Elżbieta,Gałeczka,K,83032231718,Wrocław,ul. Dębowa 27,False,48535975570,qzoxe7vef@opayq.com
893,Milan,Parketny,M,83072438911,Luboń,ul. Środkowa 78/14,False,48632202138,park.m@gmail.com
894,Oliwia,Świercz,K,00322202432,Wrocław,ul. Błocie 72,False,48557500569,swiercz20005@interia.pl
895,Piotr,Kowaliński,M,71122459555,Łódź,ul. Sucharskiego 80/46,False,48022772600,p-kowalinski@outlook.com
896,Maja,Kwiecień,K,99062871716,Chojnice,ul. Czapelska 91/12,False,48896971690,m_kwiecien5797@interia.pl
897,Stanisław,Życki,M,05323106853,Nysa,ul. Malborska 77/35,False,48972369561,zycki058@o2.pl
898,Magdalena,Stolarczyk,K,,Opole,ul. Długa 49,False,48816708788,stolar.magdalena8991@vp.pl
899,Lucyna,Angelstein,K,94080231575,Lubin,ul. Tadeusza Rejtana 81,False,48615359598,luc-ang94@onet.pl
900,Genowefa,Zawisza,K,84111578878,Koszalin,ul. Wiosenna 31/39,False,48697701111,genzawisz7614@wp.pl
901,Sylwia,Diiuk,K,91113049239,Wrocław,ul. Czapla 4,False,48067163363,t7e2nf9h4043@opayq.com
902,Marian,Kłosek,M,74121004894,Wrocław,ul. Nad Stawem 55/40,False,48201929253,v2k4su4ih@gmail.com
903,Anna,Pałka,K,91012865617,Wrocław,pl. PL. Wolności 88/1,False,48528262219,palk_an@wp.pl
904,Wojciech,Pankowski,M,03260929018,Wrocław,ul. Makowa 52,False,48767623192,l747zuwd401e034@opayq.com
905,Mirosław,Helman,M,70091621871,Poznań,ul. Borówkowa 26,False,48711709911,helman4@gmail.com
906,Rodolfo,Wesołowski,M,10232596578,Zielona Góra,ul. Sportowa 77/50,False,48057681148,wes.ro@wp.pl
907,Julia,Małkowska,K,10232630250,Brzeg,ul. Lawendowa 12/25,False,48398156787,xa6n92pe68m@opayq.com
